"Z13U_REC_KEY","Z13_TITLE","Z13_IMPRINT","CONTROL_NUMBER","Z13_UPDATE_DATE"
"000912955","Hobson's choice.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113181","20150715"
"000912956","Major Barbara.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113183","20150715"
"000912957","Pygmalion.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113185","20150715"
"000912958","Quadrophenia.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113187","20150715"
"000912959","Richard III.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113189","20150715"
"000912960","Seance on a wet afternoon.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113191","20150715"
"000912961","That Hamilton woman.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113193","20150715"
"000912962","The horse's mouth.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113195","20150715"
"000912963","The league of gentlemen.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113197","20150715"
"000912964","The lord of the flies.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113199","20150715"
"000912965","The private life of Henry VIII.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113201","20150715"
"000912966","The rise of Catherine the Great.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113203","20150715"
"000912967","The ruling class.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113205","20150715"
"000912968","The spy in black.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113207","20150715"
"000912969","The Eastern European & Russian collection.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113209","20150715"
"000912970","A generation.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113211","20150715"
"000912971","Andrei Rublev.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113213","20150715"
"000912972","Ashes and diamonds.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113215","20150715"
"000912973","Closely watched trains.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113217","20150715"
"000912974","Daisies.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113219","20150715"
"000912975","Ivan the Terrible. Part 1.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113221","20150715"
"000912976","Ivan the Terrible. Part 2.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113223","20150715"
"000912977","Ivan's childhood.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113225","20150715"
"000912978","Kanal.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113227","20150715"
"000912979","Knife in the water.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113229","20150715"
"000912980","Love affair, or, The case of the missing switchboard operator.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113231","20150715"
"000912981","Marketa Lazarova.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113233","20150715"
"000912982","Solaris.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113235","20150715"
"000912983","The cremator.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113237","20150715"
"000912984","WR : mysteries of the organism.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113239","20150715"
"000912985","The Japanese collection. Vol. 1.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113241","20150715"
